lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,99a2e_00001,2023-11-09_10-00-29,1699495229,60.73352932929993,60.73352932929993,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,60.73352932929993,1,16215,0.014027118682861328,1,0.3565230369567871,2.0,0.004683682229369879,0.0006083339103497565,0.04471844807267189,0.01816600002348423,0.01668330281972885,0.024664426008925416,0.004683682229369879,0.0006083339103497565,0.04471844807267189,0.01816600002348423,0.01668330281972885,0,0,0,0,0,60.71803951263428,2000,60.71803951263428,2000.0,4.808063225507736,0.9002198640704155,1.1898637256026268,0.5672596948444844,0.7600952259898186,0.9487991695139786,4.808063225507736,0.9002198640704155,1.1898637256026268,0.5672596948444844,0.7600952259898186,0,0,0,0,0,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[0.01],1,False,2,99a2e_00001,2023-11-09_10-01-30,1699495290,60.591675758361816,121.32520508766174,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,121.32520508766174,2,16215,0.013635635375976562,1,0.37015867233276367,3.0,0.0032690302468836308,0.00041587502346374094,0.036748118698596954,0.014763910323381424,0.014067823067307472,0.020393014084821814,0.0032690302468836308,0.00041587502346374094,0.036748118698596954,0.014763910323381424,0.014067823067307472,0,0,0,0,0,60.57720232009888,2000,121.29524183273315,4000.0,4.797307971715927,0.8992055094540119,1.1873286228775979,0.5661306842565537,0.7605070821940899,0.9482644723145605,4.797307971715927,0.8992055094540119,1.1873286228775979,0.5661306842565537,0.7600952259898186,0,0,0,0,1,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[0.0025],2,False,3,99a2e_00001,2023-11-09_10-02-30,1699495350,60.32706832885742,181.65227341651917,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,181.65227341651917,3,16215,0.014484167098999023,1,0.3846428394317627,4.0,0.0016011258121579885,0.0002572225930634886,0.027905074879527092,0.011694817803800106,0.010975191369652748,0.016038160526179072,0.0016011258121579885,0.0002572225930634886,0.027905074879527092,0.011694817803800106,0.010975191369652748,0,0,0,0,0,60.311784982681274,2000,181.60702681541443,6000.0,4.7965282874107364,0.8996492946743965,1.186292641699314,0.5656323974728584,0.7613333668708802,0.9484984421043592,4.7965282874107364,0.8992055094540119,1.186292641699314,0.5656323974728584,0.7600952259898186,0,1,0,0,2,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[0.0025],3,False,4,99a2e_00001,2023-11-09_10-03-32,1699495412,61.50033235549927,243.15260577201843,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,243.15260577201843,4,16215,0.013948440551757812,1,0.3985912799835205,5.0,0.0014216972049325705,0.0003014136746060103,0.02768249809741974,0.012480443343520164,0.012068694457411766,0.01736126938348721,0.0014216972049325705,0.0002572225930634886,0.02768249809741974,0.011694817803800106,0.010975191369652748,0,1,0,1,1,61.48555588722229,2000,243.09258270263672,8000.0,4.792106587648392,0.8989121063351632,1.1859887881278992,0.5654943247437477,0.7609353551566601,0.9481097543719098,4.792106587648392,0.8989121063351632,1.1859887881278992,0.5654943247437477,0.7600952259898186,0,0,0,0,3,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[0.000625],4,False,5,99a2e_00001,2023-11-09_10-04-31,1699495471,59.61220669746399,302.7648124694824,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,302.7648124694824,5,16215,0.013778209686279297,1,0.4123694896697998,6.0,0.0006371136987581849,0.00014629245561081916,0.01848105899989605,0.008479143492877483,0.008625381626188755,0.012095141818549263,0.0006371136987581849,0.00014629245561081916,0.01848105899989605,0.008479143492877483,0.008625381626188755,0,0,0,0,0,59.597615480422974,2000,302.6901981830597,10000.0,4.794312368392944,0.8995711793899536,1.186035280108452,0.5654838195443154,0.7614157273769379,0.9484572628168091,4.792106587648392,0.8989121063351632,1.1859887881278992,0.5654838195443154,0.7600952259898186,1,1,1,0,4,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[0.000625],5,False,6,99a2e_00001,2023-11-09_10-05-31,1699495531,59.53998684883118,362.3047993183136,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,362.3047993183136,6,16215,0.013992786407470703,1,0.4263622760772705,7.0,0.001296354690566659,0.00013888563262298703,0.021449005231261253,0.008311835117638111,0.008354616351425648,0.011784974867304005,0.0006371136987581849,0.00013888563262298703,0.01848105899989605,0.008311835117638111,0.008354616351425648,1,0,1,0,0,59.52513337135315,2000,362.21533155441284,12000.0,4.791906312942505,0.8994192502200603,1.1859336399435998,0.5654320870637893,0.7613494217693806,0.948377166648407,4.791906312942505,0.8989121063351632,1.1859336399435998,0.5654320870637893,0.7600952259898186,0,2,0,0,5,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[0.00015625],6,False,7,99a2e_00001,2023-11-09_10-06-31,1699495591,60.39743995666504,422.70223927497864,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,422.70223927497864,7,16215,0.013962268829345703,1,0.4403245449066162,8.0,0.0005769377457909286,8.410258305957541e-05,0.015093726105988026,0.006108438596129417,0.006840317975729704,0.009170746047055027,0.0005769377457909286,8.410258305957541e-05,0.015093726105988026,0.006108438596129417,0.006840317975729704,0,0,0,0,0,60.382678270339966,2000,422.5980098247528,14000.0,4.79081481051445,0.8991084815561772,1.1857411767840385,0.5653095917701721,0.7612511403560639,0.9482133101555669,4.79081481051445,0.8989121063351632,1.1857411767840385,0.5653095917701721,0.7600952259898186,0,3,0,0,6,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[0.00015625],7,False,8,99a2e_00001,2023-11-09_10-07-32,1699495652,60.79029941558838,483.492538690567,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,483.492538690567,8,16215,0.014961481094360352,1,0.45528602600097656,9.0,0.000574156001675874,7.08548104739748e-05,0.014277935959398746,0.005597318522632122,0.006286904215812683,0.008417529950880768,0.000574156001675874,7.08548104739748e-05,0.014277935959398746,0.005597318522632122,0.006286904215812683,0,0,0,0,0,60.774489402770996,2000,483.3724992275238,16000.0,4.792814010858536,0.8992639736533165,1.1857029852867127,0.5652506530582905,0.7613955648839473,0.9482952987615811,4.79081481051445,0.8989121063351632,1.1857029852867127,0.5652506530582905,0.7600952259898186,1,4,0,0,7,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[3.90625e-05],8,False,9,99a2e_00001,2023-11-09_10-08-24,1699495704,51.95004343986511,535.4425821304321,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,535.4425821304321,9,16215,0.01354074478149414,1,0.4688267707824707,10.0,0.00016816292190924287,5.6467899412382394e-05,0.00886771734803915,0.004384771920740604,0.006102621089667082,0.007514512586481069,0.00016816292190924287,5.6467899412382394e-05,0.00886771734803915,0.004384771920740604,0.006102621089667082,0,0,0,0,0,51.935713052749634,2000,535.3082122802734,18000.0,4.793064866781235,0.8989978933930397,1.1856214707493782,0.5652171862125397,0.7612488795518875,0.9481549943933427,4.79081481051445,0.8989121063351632,1.1856214707493782,0.5652171862125397,0.7600952259898186,2,5,0,0,8,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
[3.90625e-05],9,False,10,99a2e_00001,2023-11-09_10-09-25,1699495765,60.63480830192566,596.0773904323578,287914,sepc622.se.cuhk.edu.hk,137.189.58.22,596.0773904323578,10,16215,0.014039754867553711,1,0.4828665256500244,11.0,0.00019289579358883202,5.2036069973837584e-05,0.009115568362176418,0.0042813001200556755,0.0058057582937181,0.007213603120066808,0.00016816292190924287,5.2036069973837584e-05,0.00886771734803915,0.0042813001200556755,0.0058057582937181,1,0,1,0,0,60.61997103691101,2000,595.9281833171844,20000.0,4.792260744810104,0.8984252538383007,1.1854930776953698,0.5651020129323006,0.760957714766264,0.9478529705805119,4.79081481051445,0.8984252538383007,1.1854930776953698,0.5651020129323006,0.7600952259898186,3,0,0,0,9,0.3424959182739258,1,0.3424959182739258,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023
